,AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,SALES_PRICE,HOUSE_AGE
0,Karapakkam,1004,131,1,1,3,AbNormal,Yes,Commercial,AllPub,Paved,A,7600000,16060
1,Anna Nagar,1986,26,2,1,5,AbNormal,No,Commercial,AllPub,Gravel,RH,21717770,4015
2,Adyar,909,70,1,1,3,AbNormal,Yes,Commercial,ELO,Gravel,RL,13159200,7300
3,Velachery,1855,14,3,2,5,Family,No,Others,NoSeWa,Paved,I,9630290,8030
4,Karapakkam,1226,84,1,1,3,AbNormal,Yes,Others,AllPub,Gravel,C,7406250,10950
5,Chrompet,1220,36,2,1,4,Partial,No,Commercial,NoSeWa,No Access,RH,12394750,1825
6,Chrompet,1167,137,1,1,3,Partial,No,Others,AllPub,No Access,RL,8488790,10220
7,Velachery,1847,176,3,2,5,Family,No,Commercial,AllPub,Gravel,RM,16800250,3650
8,Chrompet,771,175,1,1,2,AdjLand,No,Others,NoSeWa,Paved,RM,8308970,12410
9,Velachery,1635,74,2,1,4,AbNormal,No,Others,ELO,No Access,I,8083650,5475
10,Chrompet,1203,78,2,1,4,AdjLand,Yes,Commercial,AllPub,No Access,RM,14938000,10220
11,Chrompet,1054,143,1,1,3,Partial,No,Others,NoSeWa,Gravel,RM,9449730,13505
12,Chrompet,1196,137,1,1,3,Family,No,Others,NoSeWa,No Access,RL,8774370,6935
13,Adyar,1056,83,1,1,3,Partial,Yes,Others,NoSeWa,Paved,RH,9386490,9490
14,Velachery,1865,157,3,2,5,Family,No,Commercial,NoSeWa,Paved,RM,15499680,19710
15,Velachery,1868,148,3,2,5,Family,No,Commercial,NoSeWa,Gravel,RH,15714080,3285
16,Karapakkam,1639,175,2,2,4,Normal Sale,Yes,House,ELO,Gravel,I,8656000,6570
17,Chrompet,796,134,1,1,2,AdjLand,Yes,Commercial,AllPub,No Access,RL,10912550,13505
18,Adyar,1136,69,1,1,3,Normal Sale,Yes,Others,AllPub,Paved,A,8287550,10950
19,Anna Nagar,1902,168,2,1,5,Family,Yes,Commercial,ELO,Paved,RL,21203240,15330
20,Chrompet,1069,53,1,1,3,AbNormal,Yes,Others,NoSeWa,Paved,RM,10905530,1460
21,Chrompet,931,96,1,1,3,AbNormal,Yes,Others,ELO,Paved,RL,9185970,8030
22,KK Nagar,2010,114,3,2,5,Partial,No,Others,NoSeWa,Gravel,RH,10925400,3650
23,Chrompet,1074,100,1,1,3,AbNormal,No,Others,NoSeWa,Gravel,RL,9627380,5840
24,T Nagar,1972,111,2,1,5,AdjLand,No,Others,NoSeWa,No Access,RH,13922760,1825
25,T Nagar,1685,105,1,1,4,Family,No,House,NoSeWa,Gravel,RM,12601080,12410
26,Adyar,1130,29,1,1,3,Family,Yes,Commercial,ELO,Paved,RH,13383350,10950
